"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1842","08 - CG 150 TITAN-ESD MIX/FLEX","","Thu Jan 29 01:28:08 UTC 2026","passed","Thu Jan 29 01:28:09 UTC 2026","","Extração de Tabela Fipe de Motos","08 - CG 150 TITAN-ESD MIX/FLEX",""
"","2413","12 - CG 160 START","","Thu Jan 29 01:28:15 UTC 2026","passed","Thu Jan 29 01:28:17 UTC 2026","","Extração de Tabela Fipe de Motos","12 - CG 160 START",""
"","1827","11 - CG 150 TITAN-KS/ TITAN-JOB","","Thu Jan 29 01:28:13 UTC 2026","passed","Thu Jan 29 01:28:15 UTC 2026","","Extração de Tabela Fipe de Motos","11 - CG 150 TITAN-KS/ TITAN-JOB",""
"","6053","01 - CG 160 FAN Flex","","Thu Jan 29 01:27:50 UTC 2026","passed","Thu Jan 29 01:27:56 UTC 2026","","Extração de Tabela Fipe de Motos","01 - CG 160 FAN Flex",""
"","2160","05 - CG 150 FAN ESi/ 150 FAN ESi FLEX","","Thu Jan 29 01:28:02 UTC 2026","passed","Thu Jan 29 01:28:04 UTC 2026","","Extração de Tabela Fipe de Motos","05 - CG 150 FAN ESi/ 150 FAN ESi FLEX",""
"","1828","06 - CG 150 TITAN-ES","","Thu Jan 29 01:28:04 UTC 2026","passed","Thu Jan 29 01:28:06 UTC 2026","","Extração de Tabela Fipe de Motos","06 - CG 150 TITAN-ES",""
"","1714","03 - CG 160 FAN ESDi FLEXONE","","Thu Jan 29 01:27:59 UTC 2026","passed","Thu Jan 29 01:28:00 UTC 2026","","Extração de Tabela Fipe de Motos","03 - CG 160 FAN ESDi FLEXONE",""
"","1786","10 - CG 150 TITAN-EX MIX/FLEX","","Thu Jan 29 01:28:11 UTC 2026","passed","Thu Jan 29 01:28:13 UTC 2026","","Extração de Tabela Fipe de Motos","10 - CG 150 TITAN-EX MIX/FLEX",""
"","1365","04 - CG 150 FAN ESDi/ 150 FAN ESDi FLEX","","Thu Jan 29 01:28:00 UTC 2026","passed","Thu Jan 29 01:28:02 UTC 2026","","Extração de Tabela Fipe de Motos","04 - CG 150 FAN ESDi/ 150 FAN ESDi FLEX",""
"","2571","02 - CG 160 TITAN FLEXONE Ed.Especial 40 Anos","","Thu Jan 29 01:27:56 UTC 2026","passed","Thu Jan 29 01:27:59 UTC 2026","","Extração de Tabela Fipe de Motos","02 - CG 160 TITAN FLEXONE Ed.Especial 40 Anos",""
"","1708","09 - CG 150 TITAN-ESD - TITAN SPECIAL EDITION","","Thu Jan 29 01:28:09 UTC 2026","passed","Thu Jan 29 01:28:11 UTC 2026","","Extração de Tabela Fipe de Motos","09 - CG 150 TITAN-ESD - TITAN SPECIAL EDITION",""
"","1727","07 - CG 150 TITAN-ES MIX","","Thu Jan 29 01:28:06 UTC 2026","passed","Thu Jan 29 01:28:08 UTC 2026","","Extração de Tabela Fipe de Motos","07 - CG 150 TITAN-ES MIX",""
